entity_cd,entity_name,county_name,district_name,year,total_enroll,per_free_lunch,per_reduced_lunch,per_lep,mean_ela_score,mean_math_score
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,316,0.33,0.1,0.01,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,312,0.32,0.08,0.02,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,300,0.26,0.08,0.03,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,326,0.22,0.07,0.03,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,294,0.31,0.06,0.03,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,321,0.25,0.08,0.03,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,335,0.35000000000000003,0.04,0.06,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,347,0.22,0,0.06,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,366,0.29,0.02,0.05,NaN,NaN
010100010014,MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,359,0.26,0.01,0.07,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,286,0.52,0.14,0.08,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,327,0.6900000000000001,0.11,0.05,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,366,0.53,0.01,0.09,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,390,0.53,0.1,0.1,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,340,0.59,0.06,0.09,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,357,0.68,0.07,0.08,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,364,0.6900000000000001,0.01,0.11,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,423,0.63,0.01,0.11,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,438,0.66,0.01,0.12,NaN,NaN
010100010016,PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,442,0.52,0,0.11,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,387,0.6,0.09,0.14,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,396,0.67,0.11,0.17,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,413,0.59,0.08,0.16,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,418,0.56,0.1,0.18,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,406,0.6900000000000001,0.07,0.16,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,410,0.7000000000000001,0.08,0.17,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,445,0.73,0.02,0.17,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,453,0.74,0.01,0.2,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,481,0.68,0.01,0.23,NaN,NaN
010100010018,DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,476,0.58,0.01,0.26,NaN,NaN
010100010019,SCHOOL 19,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,368,0.32,0.07,0.08,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,351,0.27,0.08,0.06,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,437,0.24,0.05,0.05,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,484,0.28,0.07,0.04,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,475,0.35000000000000003,0.05,0.05,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,499,0.34,0.05,0.04,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,519,0.36,0.06,0.04,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,515,0.28,0,0.04,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,508,0.29,0.01,0.05,NaN,NaN
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,484,0.3,0,0.05,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,432,0.41000000000000003,0.09,0.03,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,401,0.72,0.12,0.03,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,414,0.5,0.12,0.02,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,407,0.66,0.09,0.03,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,324,0.68,0.1,0.03,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,341,0.75,0.09,0.04,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,383,0.8,0.01,0.05,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,363,0.81,0.01,0.05,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,379,0.78,0,0.07,NaN,NaN
010100010020,NORTH ALBANY ACADEMY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,402,0.66,0,0.16,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,531,0.37,0.19,0.03,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,501,0.38,0.18,0.03,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,538,0.33,0.12,0.03,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,562,0.46,0.14,0.04,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,517,0.42,0.14,0.02,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,527,0.44,0.11,0.06,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,490,0.62,0.05,0.07,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,508,0.45,0,0.07,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,518,0.52,0.01,0.08,NaN,NaN
010100010023,ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,551,0.48,0,0.07,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,206,0.41000000000000003,0.1,0.09,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,195,0.59,0.08,0.06,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,273,0.37,0.12,0.06,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,297,0.43,0.08,0.08,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,286,0.44,0.04,0.06,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,300,0.53,0.09,0.09,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,348,0.58,0.05,0.1,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,315,0.4,0.01,0.12,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,313,0.46,0.05,0.11,NaN,NaN
010100010027,EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,345,0.42,0.03,0.14,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,516,0.51,0.15,0.07,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,437,0.71,0.16,0.06,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,378,0.78,0.2,0.06,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,451,0.65,0.11,0.05,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,440,0.7000000000000001,0.09,0.07,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,429,0.67,0.11,0.06,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,421,0.7000000000000001,0.01,0.08,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,529,0.67,0.01,0.1,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,479,0.71,0.01,0.12,NaN,NaN
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,479,0.62,0,0.12,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,424,0.7000000000000001,0.07,0.09,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,392,0.8300000000000001,0.14,0.07,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,489,0.63,0.06,0.12,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2011,453,0.89,0.05,0.15,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2012,379,0.91,0.05,0.11,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2013,403,0.81,0.04,0.13,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2014,413,0.87,0.01,0.11,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2015,489,0.86,0,0.1,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2016,499,0.86,0.01,0.1,NaN,NaN
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2017,595,0.77,0.01,0.14,NaN,NaN
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2008,430,0.58,0.09,0.06,NaN,NaN
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2009,470,0.8,0.08,0.1,NaN,NaN
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,ALBANY,ALBANY CITY SCHOOL DISTRICT,2010,629,0.67,0.07,0.08,NaN,NaN
